Batch,Year,Academic Rate,Internship Rate,Current Preference,After Graduate,Career Path,Prefer Country,Career Type
8,2nd,3,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Data Scientist, Database Administrator"
8,2nd,3,4,Programming,Working,Entrepreneurship,Cambodia,Web Development
8,2nd,4,5,Programming,Working,Researcher,Japan,"Data Scientist, Database Administrator"
8,2nd,4,5,Programming,Working,Work for a company,Japan,"Web Development, UX/UI, Mobile application development"
8,2nd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Mobile development "
8,2nd,4,3,Programming,Working,Work for a company,Cambodia,"Web Development, Project Manager, Mobile App Developer"
8,2nd,1,2,Programming,Pursue a master's degree,Work for a company,Japan,"Web Development, Data Scientist, Database Administrator, Digital Marketing"
8,2nd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Mobile developer"
8,2nd,1,2,Programming,Working,Work for a company,Japan,Data Scientist
8,2nd,4,3,Doing business,Working,Work for a company,Cambodia,"Web Development, Data Scientist, UX/UI, Database Administrator, Project Manager"
5,3rd,4,3,Programming,Working,Work for a company,Japan,"Web Development, Project Manager"
8,2nd,4,4,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, UX/UI"
6,3rd,4,4,Doing business,Working,Entrepreneurship,Cambodia,"Graphic Designer, UX/UI, Quality Assurance, Digital Marketing"
6,3rd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI"
8,2nd,3,2,Programming,Working,Work for a company,Cambodia,"Web Development, Data Scientist, Project Manager"
8,2nd,4,5,Doing business,Working,Work for a company,Cambodia,"Data Scientist, Graphic Designer, Project Manager"
6,3rd,3,4,Doing business,Working,Work for a company,Japan,"Web Development, Data Scientist, UX/UI"
6,3rd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Mobile App Development, Game Development"
8,2nd,3,4,Programming,Pursue a master's degree,Work for a company,Japan,"Web Development, Data Scientist, Graphic Designer, UX/UI, Database Administrator, Digital Marketing"
8,2nd,3,4,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, Digital Marketing, Project Manager"
6,3rd,3,3,Doing business,Working,Work for a company,Japan,"Web Development, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,3,Doing business,Working,Entrepreneurship,Cambodia,"Graphic Designer, UX/UI, Digital Marketing, Project Manager"
8,2nd,1,3,Doing business,Working,Work for a company,Japan,Cyber Security
8,2nd,3,4,Programming,Working,Entrepreneurship,Cambodia,"Web Development, Data Scientist, Graphic Designer, UX/UI"
6,3rd,4,4,Doing business,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,5,Programming,Working,Work for a company,Japan,"AWS Solution Architecture, Data Center or Lab operation, Network Operations"
8,2nd,3,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Database Administrator, Digital Marketing"
8,2nd,4,4,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Ethical hacker"
6,3rd,3,3,Programming,Pursue a master's degree,Researcher,Japan,"Web Development, Data Scientist"
6,3rd,3,3,Programming,Working,Work for a company,Japan,Web Development
6,3rd,4,3,Doing business,Working,Work for a company,Japan,Web Development
6,3rd,3,4,Doing business,Working,Work for a company,Cambodia,Digital Marketing
8,2nd,4,4,Programming,Working,Work for a company,Japan,"Web Development, Graphic Designer, UX/UI"
6,3rd,2,3,Doing business,Pursue a master's degree,Work for a company,Japan,"Web Development, Graphic Designer, UX/UI, Digital Marketing, Project Manager"
6,3rd,3,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Web Development, Graphic Designer, Digital Marketing, Project Manager"
8,2nd,3,4,Doing business,Working,Entrepreneurship,Cambodia,"Graphic Designer, UX/UI, Digital Marketing"
6,3rd,1,2,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Database Administrator, Project Manager, IoT, AI"
8,2nd,3,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Database Administrator"
8,2nd,4,4,Programming,Working,Entrepreneurship,Cambodia,"Data Scientist, Graphic Designer, Game developer"
6,3rd,2,3,Programming,Working,Work for a company,Cambodia,"Web Development, Graphic Designer, UX/UI"
6,3rd,3,2,Doing business,Pursue a master's degree,Entrepreneurship,Japan,Mobile App developer
8,2nd,3,4,Doing business,Working,Entrepreneurship,Cambodia,Digital Marketing
6,3rd,3,4,Programming,Working,Entrepreneurship,Cambodia,"Web Development, Graphic Designer, UX/UI, Project Manager, Animator"
6,3rd,3,3,Doing business,Working,Work for a company,Cambodia,"UX/UI, Database Administrator"
8,2nd,2,3,Programming,Working,Work for a company,Cambodia,"Web Development, UX/UI, Quality Assurance, Database Administrator"
8,2nd,3,4,Programming,Pursue a master's degree,Entrepreneurship,Japan,Data Scientist
8,2nd,4,3,Programming,Working,Work for a company,Japan,"Web Development, UX/UI, Quality Assurance, Database Administrator, Project Manager"
8,2nd,3,3,Programming,Working,Entrepreneurship,Japan,"Web Development, Digital Marketing, Project Manager"
6,3rd,3,4,Programming,Working,Work for a company,Cambodia,"Web Development, Data Scientist"
6,3rd,3,3,Programming,Pursue a master's degree,Entrepreneurship,Japan,"Web Development, Project Manager"
6,3rd,4,4,Doing business,Pursue a master's degree,Entrepreneurship,Japan,"Graphic Designer, UX/UI, Project Manager"
8,2nd,3,4,Programming,Working,Work for a company,Cambodia,Web Development
6,3rd,4,3,Programming,Working,Work for a company,Japan,"Web Development, UX/UI, Project Manager"
6,3rd,3,4,Programming,Working,Work for a company,Japan,"Web Development, Mobile Development"
6,3rd,4,3,Programming,Working,Work for a company,Japan,"Web Development, Data Scientist, Graphic Designer, Digital Marketing"
